Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%,PTS,AST,TRB,STL,BLK,FG,FGA,MP,G,3P,3PA,2P,2PA
Bato Govedarica,1954,3.260869565217391,1.0434782608695652,0.782608695652174,,,0.316,0.316,0.316,,0.676,75,24,18.0,,,25,79,258.0,23,,,25,79
Norm Grekin,1954,0.0,0.0,0.0,,,,,,,,0,0,0.0,,,0,0,1.0,1,,,0,0
Rollen Hans,1954,7.208955223880597,2.701492537313433,2.388059701492537,,,0.371,0.371,0.371,,0.561,483,181,160.0,,,191,515,1556.0,67,,,191,515
Bob Houbregs*,1954,8.685714285714285,1.7571428571428571,5.357142857142857,,,0.372,0.372,0.372,,0.714,608,123,375.0,,,209,562,1970.0,70,,,209,562
Billy Kenville,1954,6.027777777777778,1.6944444444444444,3.4305555555555554,,,0.384,0.384,0.384,,0.747,434,122,247.0,,,149,388,1405.0,72,,,149,388
Dick Knostman,1954,2.6,1.2,3.4,,,0.3,0.3,0.3,,0.636,13,6,17.0,,,3,10,47.0,5,,,3,10
Clyde Lovellette*,1954,8.166666666666666,0.7083333333333334,5.819444444444445,,,0.423,0.423,0.423,,0.695,588,51,419.0,,,237,560,1255.0,72,,,237,560
Jim Luisi,1954,2.870967741935484,1.1290322580645162,0.8064516129032258,,,0.326,0.326,0.326,,0.659,89,35,25.0,,,31,95,367.0,31,,,31,95
Jack Molinas,1954,11.5625,1.59375,7.125,,,0.39,0.39,0.39,,0.759,370,51,228.0,,,114,292,958.0,32,,,114,292
Jim Neal,1954,4.656716417910448,0.3582089552238806,3.8358208955223883,,,0.317,0.317,0.317,,0.591,312,24,257.0,,,117,369,899.0,67,,,117,369
Paul Nolen,1954,0.0,0.0,1.0,,,0.0,0.0,0.0,,,0,0,1.0,,,0,1,2.0,1,,,0,1
Bob Peterson,1954,1.875,0.375,1.5,,,0.3,0.3,0.3,,0.818,15,3,12.0,,,3,10,60.0,8,,,3,10
James Phelan,1954,0.75,0.5,1.25,,,0.0,0.0,0.0,,0.5,3,2,5.0,,,0,6,33.0,4,,,0,6
