Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%,PTS,AST,TRB,STL,BLK,FG,FGA,MP,G,3P,3PA,2P,2PA
Winston Bennett,1990,6.1454545454545455,0.9818181818181818,3.418181818181818,0.41818181818181815,0.18181818181818182,0.479,0.479,0.479,,0.667,338,54,188.0,23.0,10.0,137,286,990.0,55,0.0,0.0,137,286
Mookie Blaylock,1990,10.1,4.2,2.8,1.64,0.28,0.371,0.387,0.395,0.225,0.778,505,210,140.0,82.0,14.0,212,571,1267.0,50,18.0,80.0,194,491
Chucky Brown,1990,7.266666666666667,0.6666666666666666,3.08,0.44,0.3466666666666667,0.47,0.47,0.477,0.0,0.762,545,50,231.0,33.0,26.0,210,447,1339.0,75,0.0,7.0,210,440
Raymond Brown,1990,1.0,0.25,0.9375,0.0,0.0,0.286,0.286,0.286,,0.0,16,4,15.0,0.0,0.0,8,28,56.0,16,0.0,0.0,8,28
Stanley Brundy,1990,2.3125,0.1875,1.625,0.375,0.3125,0.5,0.5,0.5,,0.389,37,3,26.0,6.0,5.0,15,30,128.0,16,0.0,0.0,15,30
Torgeir Bryn,1990,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,,0.667,4,0,2.0,2.0,1.0,0,2,10.0,3,0.0,0.0,0,2
Steve Bucknall,1990,1.2777777777777777,0.5555555555555556,0.3888888888888889,0.1111111111111111,0.05555555555555555,0.273,0.273,0.281,0.0,0.833,23,10,7.0,2.0,1.0,9,33,75.0,18,0.0,1.0,9,32
Adrian Caldwell,1990,1.9019607843137254,0.13725490196078433,2.1372549019607843,0.21568627450980393,0.35294117647058826,0.553,0.553,0.553,,0.464,97,7,109.0,11.0,18.0,42,76,331.0,51,0.0,0.0,42,76
Lanard Copeland,1990,3.217391304347826,0.391304347826087,0.43478260869565216,0.043478260869565216,0.043478260869565216,0.456,0.463,0.476,0.2,0.786,74,9,10.0,1.0,1.0,31,68,110.0,23,1.0,5.0,30,63
Terry Davis,1990,4.73015873015873,0.3968253968253968,3.634920634920635,0.3968253968253968,0.4444444444444444,0.466,0.466,0.467,0.0,0.621,298,25,229.0,25.0,28.0,122,262,884.0,63,0.0,1.0,122,261
Byron Dinkins,1990,3.484848484848485,2.272727272727273,1.2121212121212122,0.5757575757575758,0.06060606060606061,0.404,0.408,0.43,0.111,0.867,115,75,40.0,19.0,2.0,44,109,362.0,33,1.0,9.0,43,100
Vlade Divac,1990,8.548780487804878,0.9146341463414634,6.2439024390243905,0.9634146341463414,1.3902439024390243,0.499,0.499,0.504,0.0,0.708,701,75,512.0,79.0,114.0,274,549,1611.0,82,0.0,5.0,274,544
Sherman Douglas,1990,14.25925925925926,7.6419753086419755,2.54320987654321,1.7901234567901234,0.12345679012345678,0.494,0.496,0.505,0.161,0.687,1155,619,206.0,145.0,10.0,463,938,2470.0,81,5.0,31.0,458,907
Terry Dozier,1990,2.4444444444444446,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.2222222222222222,0.333,0.333,0.346,0.0,0.5,22,3,15.0,6.0,2.0,9,27,92.0,9,0.0,1.0,9,26
Blue Edwards,1990,8.865853658536585,1.7682926829268293,3.0609756097560976,0.926829268292683,0.43902439024390244,0.507,0.515,0.519,0.3,0.719,727,145,251.0,76.0,36.0,286,564,1889.0,82,9.0,30.0,277,534
Jay Edwards,1990,1.75,1.0,0.5,0.25,0.0,0.429,0.429,0.6,0.0,0.333,7,4,2.0,1.0,0.0,3,7,26.0,4,0.0,2.0,3,5
Sean Elliott,1990,10.0,1.9012345679012346,3.6666666666666665,0.5555555555555556,0.1728395061728395,0.481,0.481,0.486,0.111,0.866,810,154,297.0,45.0,14.0,311,647,2032.0,81,1.0,9.0,310,638
Pervis Ellison,1990,7.970588235294118,1.911764705882353,5.764705882352941,0.47058823529411764,1.6764705882352942,0.442,0.442,0.446,0.0,0.628,271,65,196.0,16.0,57.0,111,251,866.0,34,0.0,2.0,111,249
Derrick Gervin,1990,11.952380952380953,0.38095238095238093,3.0952380952380953,0.9523809523809523,0.3333333333333333,0.472,0.472,0.479,0.0,0.73,251,8,65.0,20.0,7.0,93,197,339.0,21,0.0,3.0,93,194
Greg Grant,1990,3.1044776119402986,2.5074626865671643,0.8805970149253731,0.5373134328358209,0.014925373134328358,0.384,0.391,0.4,0.188,0.661,208,168,59.0,36.0,1.0,83,216,678.0,67,3.0,16.0,80,200
Scott Haffner,1990,4.558139534883721,1.8604651162790697,1.186046511627907,0.3023255813953488,0.046511627906976744,0.406,0.412,0.434,0.143,0.68,196,80,51.0,13.0,2.0,88,217,559.0,43,3.0,21.0,85,196
Tom Hammonds,1990,5.262295081967213,0.8360655737704918,2.7540983606557377,0.18032786885245902,0.22950819672131148,0.437,0.437,0.439,0.0,0.643,321,51,168.0,11.0,14.0,129,295,805.0,61,0.0,1.0,129,294
Tim Hardaway,1990,14.708860759493671,8.721518987341772,3.9240506329113924,2.088607594936709,0.1518987341772152,0.471,0.483,0.489,0.274,0.764,1162,689,310.0,165.0,12.0,464,985,2663.0,79,23.0,84.0,441,901
Mike Higgins,1990,1.2727272727272727,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.375,0.375,0.375,,0.8,14,3,4.0,2.0,2.0,3,8,50.0,11,0.0,0.0,3,8
Ed Horton,1990,4.488888888888889,0.4222222222222222,2.4,0.2,0.1111111111111111,0.494,0.494,0.506,0.0,0.609,202,19,108.0,9.0,5.0,80,162,374.0,45,0.0,4.0,80,158
Byron Irvin,1990,5.16,0.94,1.48,0.56,0.02,0.473,0.485,0.481,0.357,0.67,258,47,74.0,28.0,1.0,96,203,488.0,50,5.0,14.0,91,189
Jaren Jackson,1990,2.392857142857143,0.4642857142857143,0.8571428571428571,0.4642857142857143,0.03571428571428571,0.362,0.362,0.379,0.0,0.81,67,13,24.0,13.0,1.0,25,69,160.0,28,0.0,3.0,25,66
Eric Johnson,1990,1.125,1.3333333333333333,0.5833333333333334,0.3541666666666667,0.041666666666666664,0.238,0.244,0.244,0.167,0.765,54,64,28.0,17.0,2.0,20,84,272.0,48,1.0,6.0,19,78
Nate Johnston,1990,2.1904761904761907,0.047619047619047616,1.0952380952380953,0.14285714285714285,0.38095238095238093,0.375,0.385,0.386,0.25,0.692,46,1,23.0,3.0,8.0,18,48,87.0,21,1.0,4.0,17,44
Shawn Kemp,1990,6.481481481481482,0.32098765432098764,4.271604938271605,0.5802469135802469,0.8641975308641975,0.479,0.481,0.488,0.167,0.736,525,26,346.0,47.0,70.0,203,424,1120.0,81,2.0,12.0,201,412
Stan Kimbrough,1990,1.6,0.5,0.7,0.4,0.0,0.438,0.438,0.438,,1.0,16,5,7.0,4.0,0.0,7,16,50.0,10,0.0,0.0,7,16
Stacey King,1990,8.878048780487806,1.0609756097560976,4.682926829268292,0.4634146341463415,0.7073170731707317,0.504,0.504,0.505,0.0,0.727,728,87,384.0,38.0,58.0,267,530,1777.0,82,0.0,1.0,267,529
Frank Kornet,1990,1.9824561403508771,0.3684210526315789,1.2456140350877194,0.24561403508771928,0.05263157894736842,0.368,0.39,0.394,0.25,0.615,113,21,71.0,14.0,3.0,42,114,438.0,57,5.0,20.0,37,94
Jeff Lebo,1990,1.5,0.75,1.0,0.5,0.0,0.286,0.286,0.286,,1.0,6,3,4.0,2.0,0.0,2,7,32.0,4,0.0,0.0,2,7
Tim Legler,1990,2.5454545454545454,0.5454545454545454,0.7272727272727273,0.18181818181818182,0.0,0.379,0.379,0.393,0.0,1.0,28,6,8.0,2.0,0.0,11,29,83.0,11,0.0,1.0,11,28
Gary Leonard,1990,1.4545454545454546,0.045454545454545456,1.2272727272727273,0.13636363636363635,0.4090909090909091,0.419,0.419,0.433,0.0,0.429,32,1,27.0,3.0,9.0,13,31,127.0,22,0.0,1.0,13,30
Clifford Lett,1990,1.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,,,4,1,0.0,0.0,0.0,2,8,28.0,4,0.0,0.0,2,8
Todd Lichti,1990,7.974683544303797,1.4683544303797469,1.9113924050632911,0.6962025316455697,0.16455696202531644,0.486,0.486,0.5,0.0,0.747,630,116,151.0,55.0,13.0,250,514,1326.0,79,0.0,14.0,250,500
Roy Marble,1990,2.125,0.4583333333333333,1.0,0.2916666666666667,0.041666666666666664,0.276,0.276,0.286,0.0,0.655,51,11,24.0,7.0,1.0,16,58,162.0,24,0.0,2.0,16,56
Sarunas Marciulionis*,1990,12.066666666666666,1.6133333333333333,2.9466666666666668,1.2533333333333334,0.09333333333333334,0.519,0.528,0.539,0.256,0.787,905,121,221.0,94.0,7.0,289,557,1695.0,75,10.0,39.0,279,518
Jeff Martin,1990,6.27536231884058,0.6376811594202898,2.3043478260869565,0.5942028985507246,0.2318840579710145,0.411,0.413,0.421,0.133,0.705,433,44,159.0,41.0,16.0,170,414,1351.0,69,2.0,15.0,168,399
Anthony Mason,1990,1.7619047619047619,0.3333333333333333,1.619047619047619,0.09523809523809523,0.09523809523809523,0.35,0.35,0.35,,0.6,37,7,34.0,2.0,2.0,14,40,108.0,21,0.0,0.0,14,40
Bob McCann,1990,2.6,0.6,1.2,0.2,0.2,0.333,0.333,0.333,,0.857,26,6,12.0,2.0,2.0,7,21,62.0,10,0.0,0.0,7,21
Mel McCants,1990,1.6923076923076923,0.15384615384615385,0.46153846153846156,0.23076923076923078,0.07692307692307693,0.308,0.308,0.308,,0.75,22,2,6.0,3.0,1.0,8,26,65.0,13,0.0,0.0,8,26
George McCloud,1990,2.6818181818181817,1.0227272727272727,0.9545454545454546,0.4318181818181818,0.06818181818181818,0.313,0.358,0.308,0.325,0.789,118,45,42.0,19.0,3.0,45,144,413.0,44,13.0,40.0,32,104
Carlton McKinney,1990,2.5714285714285716,1.0,1.7142857142857142,0.8571428571428571,0.14285714285714285,0.25,0.25,0.258,0.0,0.5,18,7,12.0,6.0,1.0,8,32,104.0,7,0.0,1.0,8,31
Scott Meents,1990,2.1153846153846154,0.2692307692307692,1.1538461538461537,0.15384615384615385,0.11538461538461539,0.432,0.432,0.432,,0.739,55,7,30.0,4.0,3.0,19,44,148.0,26,0.0,0.0,19,44
Sam Mitchell,1990,12.65,1.1125,5.775,0.825,0.675,0.446,0.446,0.451,0.0,0.768,1012,89,462.0,66.0,54.0,372,834,2414.0,80,0.0,9.0,372,825
Mike Morrison,1990,2.0,0.3055555555555556,0.5555555555555556,0.05555555555555555,0.0,0.338,0.353,0.344,0.286,0.8,72,11,20.0,2.0,0.0,23,68,153.0,36,2.0,7.0,21,61
John Morton,1990,3.945945945945946,1.8108108108108107,0.8648648648648649,0.4864864864864865,0.10810810810810811,0.298,0.32,0.313,0.233,0.694,146,67,32.0,18.0,4.0,48,161,402.0,37,7.0,30.0,41,131
Dyron Nix,1990,1.95,0.25,1.3,0.15,0.05,0.359,0.359,0.359,,0.688,39,5,26.0,3.0,1.0,14,39,109.0,20,0.0,0.0,14,39
Zarko Paspalj,1990,2.5714285714285716,0.35714285714285715,1.0714285714285714,0.10714285714285714,0.25,0.342,0.342,0.346,0.0,0.818,72,10,30.0,3.0,7.0,27,79,181.0,28,0.0,1.0,27,78
Kenny Payne,1990,3.257142857142857,0.2857142857142857,0.7428571428571429,0.2,0.17142857142857143,0.435,0.454,0.439,0.4,0.889,114,10,26.0,7.0,6.0,47,108,216.0,35,4.0,10.0,43,98
Drazen Petrovic*,1990,7.571428571428571,1.5064935064935066,1.4415584415584415,0.2987012987012987,0.025974025974025976,0.485,0.525,0.49,0.459,0.844,583,116,111.0,23.0,2.0,207,427,967.0,77,34.0,74.0,173,353
Brian Quinnett,1990,1.2903225806451613,0.3548387096774194,0.9032258064516129,0.0967741935483871,0.12903225806451613,0.328,0.328,0.339,0.0,0.667,40,11,28.0,3.0,4.0,19,58,193.0,31,0.0,2.0,19,56
J.R. Reid,1990,11.073170731707316,1.2317073170731707,8.426829268292684,1.1219512195121952,0.6585365853658537,0.44,0.44,0.443,0.0,0.664,908,101,691.0,92.0,54.0,358,814,2757.0,82,0.0,5.0,358,809
Glen Rice,1990,13.61038961038961,1.7922077922077921,4.571428571428571,0.8701298701298701,0.35064935064935066,0.439,0.447,0.452,0.246,0.734,1048,138,352.0,67.0,27.0,470,1071,2311.0,77,17.0,69.0,453,1002
Pooh Richardson,1990,11.439024390243903,6.7560975609756095,2.6463414634146343,1.6219512195121952,0.3048780487804878,0.461,0.473,0.479,0.277,0.589,938,554,217.0,133.0,25.0,426,925,2581.0,82,23.0,83.0,403,842
Clifford Robinson,1990,9.097560975609756,0.8780487804878049,3.7560975609756095,0.6463414634146342,0.6463414634146342,0.397,0.405,0.405,0.273,0.55,746,72,308.0,53.0,53.0,298,751,1565.0,82,12.0,44.0,286,707
David Robinson*,1990,24.304878048780488,2.0,11.987804878048781,1.6829268292682926,3.8902439024390243,0.531,0.531,0.532,0.0,0.732,1993,164,983.0,138.0,319.0,690,1300,3002.0,82,0.0,2.0,690,1298
Doug Roth,1990,1.9285714285714286,0.47619047619047616,2.857142857142857,0.19047619047619047,0.30952380952380953,0.43,0.43,0.435,0.0,0.5,81,20,120.0,8.0,13.0,37,86,412.0,42,0.0,1.0,37,85
Donald Royal,1990,5.863636363636363,0.6515151515151515,2.0757575757575757,0.48484848484848486,0.12121212121212122,0.459,0.459,0.461,0.0,0.777,387,43,137.0,32.0,8.0,117,255,746.0,66,0.0,1.0,117,254
Delaney Rudd,1990,3.5454545454545454,2.2987012987012987,0.7142857142857143,0.2857142857142857,0.012987012987012988,0.429,0.459,0.468,0.286,0.66,273,177,55.0,22.0,1.0,111,259,850.0,77,16.0,56.0,95,203
Jeff Sanders,1990,0.9032258064516129,0.2903225806451613,1.2580645161290323,0.12903225806451613,0.12903225806451613,0.325,0.325,0.325,,0.5,28,9,39.0,4.0,4.0,13,40,182.0,31,0.0,0.0,13,40
Dexter Shouse,1990,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,,0,2,0.0,1.0,1.0,0,4,18.0,3,0.0,1.0,0,3
Michael Smith,1990,5.030769230769231,1.2153846153846153,1.5384615384615385,0.13846153846153847,0.015384615384615385,0.476,0.479,0.519,0.071,0.828,327,79,100.0,9.0,1.0,136,286,620.0,65,2.0,28.0,134,258
Jay Taylor,1990,3.0,0.29411764705882354,0.6470588235294118,0.29411764705882354,0.17647058823529413,0.404,0.433,0.462,0.231,0.667,51,5,11.0,5.0,3.0,21,52,114.0,17,3.0,13.0,18,39
Leonard Taylor,1990,1.1,0.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.688,11,1,12.0,0.0,0.0,0,6,37.0,10,0.0,1.0,0,5
Henry Turner,1990,4.333333333333333,0.6111111111111112,1.3888888888888888,0.4722222222222222,0.19444444444444445,0.475,0.475,0.487,0.0,0.615,156,22,50.0,17.0,7.0,58,122,315.0,36,0.0,3.0,58,119
Gary Voce,1990,2.0,0.0,2.0,0.0,0.0,0.333,0.333,0.333,,,2,0,2.0,0.0,0.0,1,3,4.0,1,0.0,0.0,1,3
Alexander Volkov,1990,4.958333333333333,1.1527777777777777,1.6527777777777777,0.5,0.3055555555555556,0.482,0.505,0.496,0.382,0.583,357,83,119.0,36.0,22.0,137,284,937.0,72,13.0,34.0,124,250
Doug West,1990,2.5961538461538463,0.34615384615384615,1.3461538461538463,0.19230769230769232,0.11538461538461539,0.393,0.404,0.403,0.273,0.813,135,18,70.0,10.0,6.0,53,135,378.0,52,3.0,11.0,50,124
Randy White,1990,4.3090909090909095,0.38181818181818183,3.1454545454545455,0.43636363636363634,0.10909090909090909,0.369,0.371,0.387,0.071,0.562,237,21,173.0,24.0,6.0,93,252,707.0,55,1.0,14.0,92,238
Mike Williams,1990,0.7142857142857143,0.09523809523809523,1.0952380952380953,0.14285714285714285,0.3333333333333333,0.333,0.333,0.353,0.0,0.5,15,2,23.0,3.0,7.0,6,18,102.0,21,0.0,1.0,6,17
Haywoode Workman,1990,1.0,0.3333333333333333,0.5,0.5,0.0,0.667,0.667,0.667,,1.0,6,2,3.0,3.0,0.0,2,3,16.0,6,0.0,0.0,2,3
Alaa Abdelnaby,1991,3.13953488372093,0.27906976744186046,2.0697674418604652,0.09302325581395349,0.27906976744186046,0.474,0.474,0.474,,0.568,135,12,89.0,4.0,12.0,55,116,290.0,43,0.0,0.0,55,116
Mahmoud Abdul-Rauf,1991,14.059701492537313,3.074626865671642,1.8059701492537314,0.8208955223880597,0.05970149253731343,0.413,0.425,0.432,0.24,0.857,942,206,121.0,55.0,4.0,417,1009,1505.0,67,24.0,100.0,393,909
Keith Askins,1991,2.2051282051282053,0.48717948717948717,1.7435897435897436,0.41025641025641024,0.3333333333333333,0.42,0.457,0.5,0.24,0.48,86,19,68.0,16.0,13.0,34,81,266.0,39,6.0,25.0,28,56
Milos Babic,1991,1.5833333333333333,0.3333333333333333,0.75,0.08333333333333333,0.08333333333333333,0.316,0.316,0.316,,0.583,19,4,9.0,1.0,1.0,6,19,52.0,12,0.0,0.0,6,19
Cedric Ball,1991,1.1428571428571428,0.0,1.5714285714285714,0.0,0.2857142857142857,0.375,0.375,0.375,,1.0,8,0,11.0,0.0,2.0,3,8,26.0,7,0.0,0.0,3,8
Lance Blanks,1991,1.6842105263157894,0.6842105263157895,0.5263157894736842,0.23684210526315788,0.05263157894736842,0.426,0.443,0.533,0.125,0.714,64,26,20.0,9.0,2.0,26,61,214.0,38,2.0,16.0,24,45
Anthony Bonner,1991,7.352941176470588,1.4411764705882353,4.735294117647059,1.1470588235294117,0.14705882352941177,0.448,0.448,0.448,,0.579,250,49,161.0,39.0,5.0,103,230,750.0,34,0.0,0.0,103,230
Dee Brown,1991,8.682926829268293,4.195121951219512,2.2195121951219514,1.0121951219512195,0.17073170731707318,0.464,0.47,0.479,0.206,0.873,712,344,182.0,83.0,14.0,284,612,1945.0,82,7.0,34.0,277,578
Jud Buechler,1991,3.135135135135135,0.6891891891891891,1.9054054054054055,0.44594594594594594,0.20270270270270271,0.416,0.418,0.419,0.25,0.652,232,51,141.0,33.0,15.0,94,226,859.0,74,1.0,4.0,93,222
Matt Bullard,1991,2.1666666666666665,0.1111111111111111,0.7777777777777778,0.16666666666666666,0.0,0.452,0.452,0.5,0.0,0.647,39,2,14.0,3.0,0.0,14,31,63.0,18,0.0,3.0,14,28
Willie Burton,1991,12.039473684210526,1.4078947368421053,3.4473684210526314,0.9473684210526315,0.3157894736842105,0.441,0.444,0.454,0.133,0.782,915,107,262.0,72.0,24.0,341,773,1928.0,76,4.0,30.0,337,743
Rick Calloway,1991,3.203125,0.953125,1.21875,0.34375,0.109375,0.391,0.391,0.395,0.0,0.696,205,61,78.0,22.0,7.0,75,192,678.0,64,0.0,2.0,75,190
Elden Campbell,1991,2.769230769230769,0.19230769230769232,1.8461538461538463,0.21153846153846154,0.7307692307692307,0.455,0.455,0.455,,0.653,144,10,96.0,11.0,38.0,56,123,380.0,52,0.0,0.0,56,123
Duane Causwell,1991,6.907894736842105,0.9078947368421053,5.144736842105263,0.6447368421052632,1.9473684210526316,0.508,0.508,0.508,,0.636,525,69,391.0,49.0,148.0,210,413,1719.0,76,0.0,0.0,210,413
Cedric Ceballos,1991,8.238095238095237,0.5555555555555556,2.380952380952381,0.3492063492063492,0.07936507936507936,0.487,0.488,0.492,0.167,0.663,519,35,150.0,22.0,5.0,204,419,730.0,63,1.0,6.0,203,413
Richard Coffey,1991,1.3076923076923077,0.057692307692307696,1.5192307692307692,0.11538461538461539,0.07692307692307693,0.373,0.373,0.378,0.0,0.545,68,3,79.0,6.0,4.0,28,75,320.0,52,0.0,1.0,28,74
Derrick Coleman,1991,18.43243243243243,2.2027027027027026,10.256756756756756,0.9594594594594594,1.337837837837838,0.467,0.473,0.472,0.342,0.731,1364,163,759.0,71.0,99.0,514,1100,2602.0,74,13.0,38.0,501,1062
Bimbo Coles,1991,4.890243902439025,2.8292682926829267,1.8658536585365855,0.7926829268292683,0.14634146341463414,0.412,0.42,0.435,0.176,0.747,401,232,153.0,65.0,12.0,162,393,1355.0,82,6.0,34.0,156,359
Anthony Cook,1991,5.293103448275862,0.4482758620689655,5.620689655172414,0.603448275862069,1.2413793103448276,0.417,0.417,0.421,0.0,0.55,307,26,326.0,35.0,72.0,118,283,1121.0,58,0.0,3.0,118,280
Tony Dawson,1991,2.25,0.0,0.5,0.0,0.0,0.571,0.643,0.5,1.0,,9,0,2.0,0.0,0.0,4,7,17.0,4,1.0,1.0,3,6
Mario Elie,1991,7.181818181818182,1.3636363636363635,3.3333333333333335,0.5757575757575758,0.30303030303030304,0.497,0.509,0.503,0.4,0.843,237,45,110.0,19.0,10.0,79,159,644.0,33,4.0,10.0,75,149
A.J. English,1991,8.8,2.5285714285714285,2.1,0.35714285714285715,0.21428571428571427,0.439,0.441,0.458,0.097,0.707,616,177,147.0,25.0,15.0,251,572,1443.0,70,3.0,31.0,248,541
Danny Ferry,1991,8.604938271604938,1.7530864197530864,3.5308641975308643,0.5308641975308642,0.30864197530864196,0.428,0.446,0.445,0.299,0.816,697,142,286.0,43.0,25.0,275,643,1661.0,81,23.0,77.0,252,566
Greg Foster,1991,4.37037037037037,0.6851851851851852,2.7962962962962963,0.2222222222222222,0.4074074074074074,0.46,0.46,0.471,0.0,0.689,236,37,151.0,12.0,22.0,97,211,606.0,54,0.0,5.0,97,206
Tate George,1991,3.4285714285714284,1.8571428571428572,0.8392857142857143,0.44642857142857145,0.08928571428571429,0.415,0.415,0.419,0.0,0.8,192,104,47.0,25.0,5.0,80,193,594.0,56,0.0,2.0,80,191
Kendall Gill,1991,11.048780487804878,3.6951219512195124,3.207317073170732,1.2682926829268293,0.47560975609756095,0.45,0.451,0.455,0.143,0.835,906,303,263.0,104.0,39.0,376,836,1944.0,82,2.0,14.0,374,822
Gerald Glass,1991,6.901960784313726,0.8235294117647058,2.0,0.5490196078431373,0.17647058823529413,0.438,0.441,0.455,0.118,0.684,352,42,102.0,28.0,9.0,149,340,606.0,51,2.0,17.0,147,323
Dan Godfread,1991,1.3,0.0,0.2,0.1,0.4,0.417,0.417,0.455,0.0,0.75,13,0,2.0,1.0,4.0,5,12,20.0,10,0.0,1.0,5,11
Jim Grandholm,1991,3.0384615384615383,0.3076923076923077,1.9230769230769231,0.07692307692307693,0.3076923076923077,0.517,0.595,0.512,0.529,0.476,79,8,50.0,2.0,8.0,30,58,168.0,26,9.0,17.0,21,41
Tony Harris,1991,1.6666666666666667,0.0,0.16666666666666666,0.16666666666666666,0.0,0.25,0.25,0.286,0.0,0.5,10,0,1.0,1.0,0.0,4,16,41.0,6,0.0,2.0,4,14
Steve Henson,1991,3.1470588235294117,1.9264705882352942,0.75,0.47058823529411764,0.0,0.418,0.466,0.452,0.333,0.905,214,131,51.0,32.0,0.0,79,189,690.0,68,18.0,54.0,61,135
Sean Higgins,1991,4.5,0.7,1.26,0.16,0.02,0.458,0.465,0.487,0.158,0.848,225,35,63.0,8.0,1.0,97,212,464.0,50,3.0,19.0,94,193
Tyrone Hill,1991,5.27027027027027,0.25675675675675674,5.175675675675675,0.44594594594594594,0.40540540540540543,0.492,0.492,0.492,,0.632,390,19,383.0,33.0,30.0,147,299,1192.0,74,0.0,0.0,147,299
Dave Jamerson,1991,3.054054054054054,0.7297297297297297,0.8108108108108109,0.16216216216216217,0.02702702702702703,0.381,0.403,0.404,0.263,0.815,113,27,30.0,6.0,1.0,43,113,202.0,37,5.0,19.0,38,94
Henry James,1991,8.108108108108109,0.8648648648648649,2.135135135135135,0.40540540540540543,0.13513513513513514,0.441,0.488,0.454,0.4,0.722,300,32,79.0,15.0,5.0,112,254,505.0,37,24.0,60.0,88,194
Les Jepsen,1991,1.3333333333333333,0.047619047619047616,1.7619047619047619,0.047619047619047616,0.14285714285714285,0.306,0.306,0.314,0.0,0.667,28,1,37.0,1.0,3.0,11,36,105.0,21,0.0,1.0,11,35
Alec Kessler,1991,6.230769230769231,0.3974358974358974,4.3076923076923075,0.21794871794871795,0.3333333333333333,0.425,0.425,0.429,0.0,0.672,486,31,336.0,17.0,26.0,199,468,1259.0,78,0.0,4.0,199,464
Bo Kimble,1991,6.919354838709677,1.2258064516129032,1.9193548387096775,0.4838709677419355,0.12903225806451613,0.38,0.403,0.397,0.292,0.773,429,76,119.0,30.0,8.0,159,418,1004.0,62,19.0,65.0,140,353
Negele Knight,1991,5.296875,2.984375,1.109375,0.3125,0.109375,0.425,0.435,0.442,0.24,0.602,339,191,71.0,20.0,7.0,131,308,792.0,64,6.0,25.0,125,283
Kurk Lee,1991,1.375,0.7083333333333334,0.625,0.22916666666666666,0.041666666666666664,0.268,0.289,0.286,0.2,0.893,66,34,30.0,11.0,2.0,19,71,265.0,48,3.0,15.0,16,56
Marcus Liberty,1991,6.671052631578948,0.8421052631578947,2.9078947368421053,0.631578947368421,0.25,0.421,0.438,0.436,0.298,0.63,507,64,221.0,48.0,19.0,216,513,1171.0,76,17.0,57.0,199,456
Ian Lockhart,1991,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,4,0,0.0,0.0,0.0,1,1,2.0,1,0.0,0.0,1,1
Tony Massenburg,1991,2.342857142857143,0.11428571428571428,1.6571428571428573,0.11428571428571428,0.2571428571428571,0.45,0.45,0.45,,0.622,82,4,58.0,4.0,9.0,27,60,161.0,35,0.0,0.0,27,60
Travis Mays,1991,14.296875,3.953125,2.78125,1.265625,0.171875,0.406,0.456,0.421,0.365,0.77,915,253,178.0,81.0,11.0,294,724,2145.0,64,72.0,197.0,222,527
Terry Mills,1991,5.7272727272727275,0.6,4.163636363636364,0.6363636363636364,0.5272727272727272,0.465,0.465,0.472,0.0,0.712,315,33,229.0,35.0,29.0,134,288,819.0,55,0.0,4.0,134,284
Chris Munk,1991,1.1818181818181819,0.09090909090909091,1.2727272727272727,0.09090909090909091,0.18181818181818182,0.429,0.429,0.429,,0.583,13,1,14.0,1.0,2.0,3,7,29.0,11,0.0,0.0,3,7
Jerrod Mustaf,1991,4.32258064516129,0.5806451612903226,2.725806451612903,0.24193548387096775,0.22580645161290322,0.465,0.465,0.467,0.0,0.644,268,36,169.0,15.0,14.0,106,228,825.0,62,0.0,1.0,106,227
Dan O'Sullivan,1991,1.0,0.19047619047619047,0.8095238095238095,0.047619047619047616,0.047619047619047616,0.438,0.438,0.438,,0.636,21,4,17.0,1.0,1.0,7,16,85.0,21,0.0,0.0,7,16
Alan Ogg,1991,1.7419354838709677,0.06451612903225806,1.5806451612903225,0.1935483870967742,0.8709677419354839,0.436,0.436,0.453,0.0,0.6,54,2,49.0,6.0,27.0,24,55,261.0,31,0.0,2.0,24,53
Brian Oliver,1991,3.8219178082191783,1.2054794520547945,1.095890410958904,0.4657534246575342,0.0547945205479452,0.408,0.417,0.417,0.278,0.732,279,88,80.0,34.0,4.0,111,272,800.0,73,5.0,18.0,106,254
Gerald Paddio,1991,7.2,1.2857142857142858,1.6857142857142857,0.2857142857142857,0.08571428571428572,0.419,0.425,0.427,0.25,0.796,504,90,118.0,20.0,6.0,212,506,1181.0,70,6.0,24.0,206,482
Walter Palmer,1991,1.4285714285714286,0.21428571428571427,0.75,0.10714285714285714,0.14285714285714285,0.333,0.333,0.341,0.0,0.667,40,6,21.0,3.0,4.0,15,45,85.0,28,0.0,1.0,15,44
Gary Payton*,1991,7.170731707317073,6.439024390243903,2.9634146341463414,2.0121951219512195,0.18292682926829268,0.45,0.451,0.459,0.077,0.711,588,528,243.0,165.0,15.0,259,575,2244.0,82,1.0,13.0,258,562
Kevin Pritchard,1991,3.9193548387096775,1.3064516129032258,1.0483870967741935,0.4838709677419355,0.12903225806451613,0.384,0.395,0.419,0.161,0.805,243,81,65.0,30.0,8.0,88,229,773.0,62,5.0,31.0,83,198
