Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%
Lee Knorek,1950,0.0,0.0,,,,0.0,0.0,0.0,,
Milo Komenich,1950,9.90625,1.9375,,,,0.283,0.283,0.283,,0.584
Leo Kubiak,1950,11.451612903225806,3.2419354838709675,,,,0.326,0.326,0.326,,0.814
Frank Kudelka,1950,6.661538461538462,2.0307692307692307,,,,0.326,0.326,0.326,,0.636
Walt Lautenbach,1950,4.327272727272727,1.3272727272727274,,,,0.301,0.301,0.301,,0.691
Tony Lavelli,1950,8.785714285714286,0.7142857142857143,,,,0.372,0.372,0.372,,0.853
Ed Leede,1950,8.921875,2.03125,,,,0.343,0.343,0.343,,0.706
Andrew Levane,1950,5.533333333333333,2.6,,,,0.333,0.333,0.333,,0.635
Freddie Lewis,1950,3.4411764705882355,0.7352941176470589,,,,0.25,0.25,0.25,,0.781
Ron Livingstone,1950,8.296296296296296,2.611111111111111,,,,0.282,0.282,0.282,,0.689
John Logan,1950,12.17741935483871,3.870967741935484,,,,0.331,0.331,0.331,,0.783
Ray Lumpp,1950,4.620689655172414,1.5517241379310345,,,,0.322,0.322,0.322,,0.796
Ed Macauley*,1950,16.134328358208954,2.985074626865672,,,,0.398,0.398,0.398,,0.718
Johnny Macknowski,1950,7.440677966101695,1.1016949152542372,,,,0.333,0.333,0.333,,0.736
John Mahnken,1950,5.5,1.7419354838709677,,,,0.267,0.267,0.267,,0.67
John Mandic,1950,2.64,0.32,,,,0.293,0.293,0.293,,0.688
Slater Martin*,1950,4.044776119402985,2.208955223880597,,,,0.351,0.351,0.351,,0.634
Ariel Maughan,1950,7.014705882352941,1.4852941176470589,,,,0.279,0.279,0.279,,0.766
Matt Mazza,1950,3.769230769230769,1.1153846153846154,,,,0.3,0.3,0.3,,0.711
Mike McCarron,1950,1.125,0.375,,,,0.2,0.2,0.2,,0.6
Dick McGuire*,1950,8.588235294117647,5.676470588235294,,,,0.337,0.337,0.337,,0.652
Bones McKinney,1950,9.283018867924529,1.6603773584905661,,,,0.296,0.296,0.296,,0.776
Mal McMullen,1950,5.568965517241379,1.5,,,,0.324,0.324,0.324,,0.546
Dick Mehen,1950,14.387096774193548,3.0806451612903225,,,,0.42,0.42,0.42,,0.705
Ken Menke,1950,2.5,1.1666666666666667,,,,0.353,0.353,0.353,,0.375
Stan Miasek,1950,7.323529411764706,1.1029411764705883,,,,0.381,0.381,0.381,,0.661
Ed Mikan,1950,4.153846153846154,0.6461538461538462,,,,0.277,0.277,0.277,,0.767
George Mikan*,1950,27.426470588235293,2.8970588235294117,,,,0.407,0.407,0.407,,0.779
Vern Mikkelsen*,1950,11.632352941176471,1.8088235294117647,,,,0.399,0.399,0.399,,0.752
Al Miksis,1950,3.375,0.5,,,,0.238,0.238,0.238,,0.81
Murray Mitchell,1950,1.0,1.0,,,,0.333,0.333,0.333,,
Leo Mogus,1950,8.78125,1.546875,,,,0.396,0.396,0.396,,0.727
